generation,gain_enemy_5,kill_enemy_5,sigma_0,sigma_1,sigma_2,sigma_3
0,-40.799999999999685,0.0,0.2916792346569253,0.1448658126181534,0.10694629647899884,0.03561886069873205
0,-30.0,0.0,0.10656950102468542,0.09319444445382839,0.16800917387486444,0.22833783523126536
0,-100.0,0.0,0.09126750461947879,0.24476178793220546,0.07428639986785775,0.11497001002509034
0,-60.0,0.0,0.006106701414794147,0.29569963056057363,0.16440464786415948,0.15413816980935077
0,-100.0,0.0,0.08593163127429766,0.054087887201127414,0.29623545009941143,0.022824237273275306
1,73.90000000000025,1.0,0.2594924332027367,0.14198920483884753,0.11215991329688657,0.029773018693612045
1,-31.54999999999996,0.0,0.15078780183870183,0.09554348767676982,0.17846696950280802,0.19392962962858468
1,-100.0,0.0,0.0999341734299971,0.22692363633366563,0.082069092291163,0.12149337173950268
1,-67.64999999999974,0.0,0.0063188972992737225,0.3,0.17402187418883686,0.10257499017334504
1,-12.149999999999885,0.0,0.06731453171327846,0.05210837463979519,0.22796115251885346,0.0279872773484728
2,75.25000000000023,1.0,0.2743132678030432,0.16570977428398018,0.1122154120701275,0.030173342355716375
2,-46.49999999999968,0.0,0.12651420189911688,0.12034348076995141,0.13200327218811317,0.2035798731022849
2,-100.0,0.0,0.004832392808409625,0.2995399769627431,0.195482514879355,0.07945622915395692
2,-22.799999999999784,0.0,0.04780766520131358,0.0513128511549571,0.2105876670464358,0.032639205071802194
2,75.10000000000024,1.0,0.2644750270986513,0.19017861481793283,0.10006639014772391,0.02069846245082426
3,74.20000000000024,1.0,0.28074690847669603,0.16381228575058923,0.11379227982677366,0.02949095811641342
3,73.45000000000024,1.0,0.25818437590741145,0.19670639993740452,0.1046693707065269,0.01929169977939956
3,-43.49999999999967,0.0,0.16160972499341741,0.14067389187961235,0.1752079770096742,0.17972069925190737
3,-16.199999999999847,0.0,0.06853863452311462,0.05922613539649939,0.21275833063889202,0.027262001629066418
3,75.40000000000023,1.0,0.25265942572592676,0.261398300172071,0.11020019565737028,0.02539024578302597
4,73.45000000000024,1.0,0.2303182675235498,0.1441254284623828,0.09720840430579923,0.02797558404708026
4,73.60000000000025,1.0,0.3,0.21052080532172993,0.14192326132674277,0.014583762188065619
4,74.80000000000024,1.0,0.1971597641359809,0.24208878227905106,0.09269887558630141,0.026807360922241685
4,-57.5,0.0,0.08148770727522547,0.061616006715051935,0.221943000210344,0.025075918526106144
4,74.80000000000024,1.0,0.21535643217389314,0.1847663141731217,0.11334919018796395,0.02333813897395656
5,71.35000000000028,1.0,0.241624680412587,0.1266698359497614,0.11304847635906486,0.022655047678125317
5,72.70000000000026,1.0,0.26110068441929696,0.20145903598762183,0.12781534261932134,0.01683776947285965
5,73.00000000000026,1.0,0.24044087325433594,0.2989029352854217,0.08695446878224929,0.037004517715049055
5,73.00000000000026,1.0,0.2422516794214626,0.23748826620638916,0.10871648613660928,0.019707334263632394
5,73.15000000000026,1.0,0.1904504339288059,0.09757377230769974,0.08214671971219355,0.031925606887528844
6,73.90000000000025,1.0,0.25544620811776947,0.11679396827312119,0.10156919474365088,0.026487063687802192
6,73.00000000000026,1.0,0.2358965876146102,0.12347090431939206,0.15053384192566754,0.018444074519983103
6,72.55000000000027,1.0,0.28956852934894955,0.3,0.0759988911487715,0.037712557583162484
6,73.15000000000026,1.0,0.24654644039724571,0.23626076398006873,0.1495174960164261,0.024190743118660252
6,74.95000000000024,1.0,0.19151185140082758,0.14993177557630086,0.06923192705298996,0.02308553917050079
7,72.70000000000026,1.0,0.2903608345892586,0.11668313775332534,0.07460870510981402,0.02438046676579052
7,72.10000000000026,1.0,0.2778603192743681,0.124746558892558,0.18073807127919028,0.01836310527005285
7,75.10000000000024,1.0,0.24207358850980884,0.2675314865985156,0.07354249092851702,0.04288760704084942
7,74.20000000000024,1.0,0.18342752625424566,0.21408709211981394,0.14768747829240136,0.025706460551903322
7,73.90000000000025,1.0,0.1638617080361534,0.1309645187160081,0.055664243792946454,0.01775240996282813
8,73.15000000000026,1.0,0.3,0.1110112168538796,0.07590045604839894,0.023869696107229905
8,74.05000000000024,1.0,0.20819621636064323,0.13908000023132513,0.18453551573101637,0.019176380171258847
8,74.05000000000024,1.0,0.197378419950434,0.2120950251305435,0.062414291963133715,0.03531606195726134
8,74.05000000000024,1.0,0.183509220507222,0.18667538464725741,0.10075168742919391,0.022554118551702647
8,74.05000000000024,1.0,0.20626431485424015,0.15250600818095703,0.06884987319904437,0.014947521595336867
9,73.60000000000025,1.0,0.29503905784951046,0.08677485733189717,0.07623380500746842,0.022674347715221324
9,72.70000000000026,1.0,0.1685135707539335,0.10394133923445006,0.1543485300578329,0.013828813814755713
9,73.90000000000025,1.0,0.21065018081694223,0.24566768806377765,0.07310124301559909,0.0310496191813075
9,74.80000000000024,1.0,0.2598222718875641,0.1664196421522713,0.08273286102039225,0.03674196723714549
9,71.95000000000027,1.0,0.16784038379164334,0.100943400428684,0.10294939407204513,0.017942050921770283
10,75.40000000000023,1.0,0.3,0.09079671639148085,0.08393302736310149,0.028799376642482527
10,71.95000000000027,1.0,0.13199040579021476,0.12487362775387038,0.16765670701947719,0.023327741020996853
10,74.35000000000025,1.0,0.21191690756233203,0.3,0.06805231876011443,0.045805693962609126
10,73.90000000000025,1.0,0.2782504766472205,0.12484112589136814,0.09139414016448431,0.04390416378553888
10,71.80000000000027,1.0,0.13948381742471674,0.08137876607062709,0.11077206251380425,0.017763480925577283
11,73.00000000000026,1.0,0.3,0.07243378128726687,0.06846593212691796,0.031751647044518355
11,74.80000000000024,1.0,0.1393601632642946,0.08283724540109791,0.136417138393942,0.019623615791929203
11,73.00000000000026,1.0,0.21159610337580445,0.3,0.06227552513400875,0.053341649013271035
11,72.40000000000026,1.0,0.3,0.14329238121462876,0.11373868457515127,0.04277302273647061
11,72.10000000000026,1.0,0.13833940364446304,0.07315238626507813,0.08837105333916287,0.015435407930715036
12,71.65000000000026,1.0,0.3,0.0703996639587682,0.055907999613772644,0.03674555662703514
12,73.90000000000025,1.0,0.12340844661144569,0.08309917125509637,0.13575781299117218,0.020831630989494393
12,73.90000000000025,1.0,0.22075254368232053,0.2807742982002772,0.050655656520791154,0.043341223442173275
12,72.55000000000027,1.0,0.3,0.1625207263018091,0.10956672881044623,0.04620235070179475
12,73.75000000000026,1.0,0.14754942085654824,0.09307694225357167,0.09434215507903264,0.016756756407572345
13,74.35000000000025,1.0,0.3,0.09299296212052603,0.0684846570371776,0.04720729109796656
13,74.35000000000025,1.0,0.12455789146593732,0.08822011588174626,0.09820212418641092,0.020993661921420267
13,74.65000000000023,1.0,0.290665871168922,0.2676927853928467,0.05752725655130887,0.05283204311424491
13,74.50000000000024,1.0,0.3,0.12884714512203527,0.1143779436545939,0.04058220270925503
13,73.75000000000026,1.0,0.1477773753069009,0.0717532471141273,0.11002254375517967,0.0179698085468735
14,73.00000000000026,1.0,0.3,0.12310620808162764,0.08074577756459411,0.04456888886715884
14,74.05000000000024,1.0,0.14926748321478564,0.11212116420023484,0.08577755021135236,0.022655833377804312
14,74.35000000000025,1.0,0.21612688466338364,0.3,0.05747926995156209,0.04855773278652595
14,72.70000000000026,1.0,0.24029833459741043,0.1104038737824523,0.1297944361663124,0.03519053662481905
14,74.65000000000023,1.0,0.16484674580721545,0.10636445434649065,0.10078709715476687,0.018415611794284865
15,75.10000000000024,1.0,0.3,0.09760582411458438,0.10462109599508512,0.05171613592838206
15,74.95000000000024,1.0,0.12357663799471919,0.1362676354022097,0.062216398056678855,0.02534352569614489
15,73.60000000000025,1.0,0.22262069417585256,0.2408150067807749,0.06489961099616935,0.04648953179200253
15,72.85000000000025,1.0,0.21423061864782386,0.11260021407011296,0.1100147990699686,0.031050862043954814
15,73.45000000000024,1.0,0.1741412344470188,0.14745470854438786,0.08545622590723939,0.023476476872410834
16,73.75000000000026,1.0,0.25143844497432255,0.1423883956740774,0.12549097530254838,0.050095678770344765
16,72.25000000000026,1.0,0.18611214946302188,0.13530441226706352,0.06876987229946853,0.02484544561438418
16,74.50000000000024,1.0,0.16443127987572703,0.2622708166690305,0.06153084475333212,0.03626291969877444
16,73.75000000000026,1.0,0.1782071766551147,0.10212315606198298,0.10059858074617416,0.0369181091709842
16,73.15000000000026,1.0,0.18720320087919262,0.16949681951683793,0.08900136744222199,0.02626458904629752
17,72.25000000000026,1.0,0.21852292376517032,0.11228457295771752,0.13378035455979545,0.04107542482001218
17,74.05000000000024,1.0,0.22188181709261848,0.19790127088335147,0.09862332580295888,0.03160519353063417
17,71.80000000000027,1.0,0.13042142747880392,0.2940889780719963,0.06297175746537018,0.031630300600828595
17,74.20000000000024,1.0,0.1746752745416515,0.10244059544294118,0.12142035546954912,0.03637138350811045
17,74.20000000000024,1.0,0.3,0.18669227921538398,0.07922403500575018,0.027990659343449877
18,72.40000000000026,1.0,0.20452331529617715,0.0879496239503106,0.19535600724165156,0.03611077160330726
18,73.90000000000025,1.0,0.24795698232305627,0.15038491271929605,0.10494284925477179,0.04844791556646525
18,74.95000000000024,1.0,0.12802161772634288,0.25080537737193614,0.061690420114621135,0.029336066438995202
18,71.95000000000027,1.0,0.1838672857253776,0.11355415715297143,0.09580901608001892,0.03564710042202357
18,73.60000000000025,1.0,0.3,0.1777857460221886,0.09083621111926929,0.028151523952178948
19,73.60000000000025,1.0,0.21018206210829368,0.09266926449166885,0.16244740253659115,0.04769705919160122
19,72.55000000000027,1.0,0.26082873604368845,0.1683557932609636,0.11242076110608913,0.05248780442847405
19,73.45000000000024,1.0,0.1226048815079023,0.2688712209453183,0.060001324714558574,0.03074980981186885
19,74.20000000000024,1.0,0.28202400576383563,0.0855114774355276,0.10817120925162474,0.030575948195794622
19,73.60000000000025,1.0,0.3,0.2100018392010609,0.09793655577879973,0.033527417808840235
